pr,base,state,family,category,title,url
1032,icml-appendix-willow-pai2e-r4,OPEN,LR / schedule,Open / uncategorized,"mlp_ratio sweep at T_max=13: ratio ∈ {1, 2, 3, 4} — FFN-width capacity",https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/1032
1033,icml-appendix-willow-pai2e-r4,OPEN,LR / schedule,Open / uncategorized,"weight_decay sweep at T_max=13: wd ∈ {0, 1e-5, 1e-4, 1e-3, 1e-2}",https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/1033
1059,icml-appendix-willow-pai2e-r4,OPEN,LR / schedule,Open / uncategorized,"slice_num sweep at T_max=13: latent token budget {32, 64, 128}",https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/1059
732,icml-appendix-willow-pai2e-r5,CLOSED,Model capacity,Model architecture,"Scale Transolver to n_hidden=256, n_layers=7, n_head=8",https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/732
733,icml-appendix-willow-pai2e-r5,CLOSED,Physics / features,Feature engineering,Increase slice_num from 64 to 256 for richer physics decomposition,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/733
734,icml-appendix-willow-pai2e-r5,CLOSED,Loss / weighting,Physics / normalization,Increase surf_weight from 10 to 50/100 to directly target surface pressure MAE,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/734
737,icml-appendix-willow-pai2e-r5,MERGED,LR / schedule,LR / optimizer,Add 5-epoch linear warmup + peak lr=1e-3 before cosine decay,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/737
739,icml-appendix-willow-pai2e-r5,MERGED,Loss / weighting,Loss function,Replace MSE with Huber loss (delta=1.0) for high-Re outlier robustness,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/739
742,icml-appendix-willow-pai2e-r5,CLOSED,EMA / stability,Model architecture,Add dropout=0.1 to MLP sublayers to reduce OOD overfitting,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/742
745,icml-appendix-willow-pai2e-r5,OPEN,Physics / features,Open / uncategorized,Separate output heads for velocity (Ux/Uy) and pressure (p),https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/745
763,icml-appendix-willow-pai2e-r5,MERGED,Physics / features,Feature engineering,Add physics-informed distance features to Transolver input,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/763
796,icml-appendix-willow-pai2e-r5,CLOSED,Physics / features,Model architecture,FiLM-condition TransolverBlocks on log(Re) for cross-regime generalization,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/796
809,icml-appendix-willow-pai2e-r5,OPEN,Training Efficiency,Open / uncategorized,"Size cosine schedule to wall-clock budget (epochs=14, warmup=2)",https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/809
810,icml-appendix-willow-pai2e-r5,OPEN,EMA / stability,Open / uncategorized,Add EMA weight averaging for lower-variance OOD checkpointing,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/810
811,icml-appendix-willow-pai2e-r5,MERGED,Training Efficiency,Training efficiency,Enable bf16 mixed precision for 1.5-2x training throughput,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/811
848,icml-appendix-willow-pai2e-r5,CLOSED,Training Efficiency,Model architecture,Scale batch_size 4→8+ to use 63 GB VRAM headroom from BF16 merge,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/848
850,icml-appendix-willow-pai2e-r5,MERGED,Loss / weighting,Loss weighting,"Lower surf_weight sweep {3, 5, 7} — counter to refuted #734",https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/850
878,icml-appendix-willow-pai2e-r5,CLOSED,EMA / stability,Model architecture,DropPath/stochastic depth on residual branches (linear scaling),https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/878
885,icml-appendix-willow-pai2e-r5,MERGED,Loss / weighting,Loss function,"Sweep Huber loss delta {0.3, 0.5, 1.0, 2.0} to find optimal threshold",https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/885
896,icml-appendix-willow-pai2e-r5,CLOSED,Training Efficiency,Physics / normalization,Per-sample y-normalization to equalize Re-regime gradient contributions,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/896
915,icml-appendix-willow-pai2e-r5,CLOSED,Physics / features,Feature engineering,Mask padded nodes in PhysicsAttention slice-token aggregation,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/915
923,icml-appendix-willow-pai2e-r5,MERGED,Training Efficiency,Feature engineering,Vectorize add_derived_features to remove per-sample CPU sync,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/923
943,icml-appendix-willow-pai2e-r5,OPEN,Loss / weighting,Open / uncategorized,"Per-channel surface loss weights: test p_surf_weight ∈ {3, 20}",https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/943
953,icml-appendix-willow-pai2e-r5,CLOSED,Loss / weighting,Loss weighting,"Sweep surf_weight ∈ {0.5, 1.0, 2.0} — find floor below sw=3",https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/953
980,icml-appendix-willow-pai2e-r5,CLOSED,Loss / weighting,Loss function,Distance-decaying boundary-layer weight on volume loss nodes,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/980
986,icml-appendix-willow-pai2e-r5,MERGED,Training Efficiency,Model architecture,torch.compile(dynamic=True) on model forward — target 1.2-1.5× speedup,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/986
1019,icml-appendix-willow-pai2e-r5,OPEN,Loss / weighting,Open / uncategorized,Loss-weighted hard-negative sampling: per-sample EMA loss → resampling weights,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/1019
1031,icml-appendix-willow-pai2e-r5,OPEN,Loss / weighting,Open / uncategorized,Huber δ floor sweep below 0.1 — find where the trend stops,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/1031
1045,icml-appendix-willow-pai2e-r5,OPEN,Loss / weighting,Open / uncategorized,"Per-channel sigma normalization: divide huber_err by sigma_per[b,c] to decouple pressure and velocity supervision",https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/1045
1072,icml-appendix-willow-pai2e-r5,OPEN,Training Efficiency,Open / uncategorized,Larger batch + linear LR scaling: bs=8 + lr=2e-3 to exploit VRAM headroom freed by compile,https://github.com/morganmcg1/TandemFoilSet-Balanced/pull/1072
